#Energy, xr0, xi0, xrh, xih
7.000, -0.29875E-04, 0.54678E-07, 0.75066E-05, 0.51317E-07
7.163, -0.28527E-04, 0.49676E-07, 0.71654E-05, 0.46536E-07
7.326, -0.27261E-04, 0.45227E-07, 0.68404E-05, 0.42291E-07
7.489, -0.26085E-04, 0.41260E-07, 0.65432E-05, 0.38512E-07
7.652, -0.24983E-04, 0.37714E-07, 0.62650E-05, 0.35140E-07
7.815, -0.23949E-04, 0.34537E-07, 0.60042E-05, 0.32124E-07
7.978, -0.22978E-04, 0.31684E-07, 0.57594E-05, 0.29420E-07
8.141, -0.22065E-04, 0.29116E-07, 0.55292E-05, 0.26990E-07
8.304, -0.21206E-04, 0.26800E-07, 0.53126E-05, 0.24802E-07
8.467, -0.20396E-04, 0.24707E-07, 0.51085E-05, 0.22828E-07
8.630, -0.19631E-04, 0.22813E-07, 0.49160E-05, 0.21044E-07
8.793, -0.18909E-04, 0.21094E-07, 0.47341E-05, 0.19428E-07
8.956, -0.18225E-04, 0.19533E-07, 0.45622E-05, 0.17962E-07
9.119, -0.17578E-04, 0.18112E-07, 0.43994E-05, 0.16629E-07
9.282, -0.16965E-04, 0.16816E-07, 0.42453E-05, 0.15416E-07
9.445, -0.16384E-04, 0.15633E-07, 0.40991E-05, 0.14310E-07
9.608, -0.15832E-04, 0.14551E-07, 0.39603E-05, 0.13299E-07
9.771, -0.15307E-04, 0.13560E-07, 0.38285E-05, 0.12375E-07
9.934, -0.14808E-04, 0.12651E-07, 0.37031E-05, 0.11543E-07
10.097, -0.14326E-04, 0.11816E-07, 0.35774E-05, 0.10786E-07
10.260, -0.13874E-04, 0.11048E-07, 0.34638E-05, 0.10089E-07
10.423, -0.13442E-04, 0.10340E-07, 0.33555E-05, 0.94476E-08
10.586, -0.13031E-04, 0.96881E-08, 0.32523E-05, 0.88554E-08
10.749, -0.12638E-04, 0.90859E-08, 0.31538E-05, 0.83085E-08
10.912, -0.12263E-04, 0.85292E-08, 0.30596E-05, 0.78026E-08
11.075, -0.11904E-04, 0.80141E-08, 0.29697E-05, 0.73342E-08
11.238, -0.11560E-04, 0.75368E-08, 0.28837E-05, 0.69001E-08
11.401, -0.11232E-04, 0.70941E-08, 0.28013E-05, 0.64972E-08
11.564, -0.10917E-04, 0.66831E-08, 0.27225E-05, 0.61230E-08
11.727, -0.10615E-04, 0.63011E-08, 0.26469E-05, 0.57750E-08
11.890, -0.10326E-04, 0.59457E-08, 0.25745E-05, 0.54512E-08
12.053, -0.10048E-04, 0.56147E-08, 0.25050E-05, 0.51494E-08
12.216, -0.97812E-05, 0.53061E-08, 0.24383E-05, 0.48680E-08
12.379, -0.95250E-05, 0.50183E-08, 0.23742E-05, 0.46054E-08
12.542, -0.92788E-05, 0.47494E-08, 0.23126E-05, 0.43600E-08
12.705, -0.90419E-05, 0.44982E-08, 0.22534E-05, 0.41306E-08
12.868, -0.88120E-05, 0.42631E-08, 0.21945E-05, 0.39159E-08
13.031, -0.85928E-05, 0.40430E-08, 0.21399E-05, 0.37148E-08
13.194, -0.83818E-05, 0.38368E-08, 0.20873E-05, 0.35263E-08
13.357, -0.81783E-05, 0.36434E-08, 0.20366E-05, 0.33495E-08
13.520, -0.79823E-05, 0.34619E-08, 0.19877E-05, 0.31835E-08
13.683, -0.77931E-05, 0.32915E-08, 0.19405E-05, 0.30275E-08
13.846, -0.76107E-05, 0.31313E-08, 0.18950E-05, 0.28809E-08
14.009, -0.74345E-05, 0.29806E-08, 0.18511E-05, 0.27429E-08
14.172, -0.72644E-05, 0.28387E-08, 0.18087E-05, 0.26130E-08
14.335, -0.71001E-05, 0.27051E-08, 0.17678E-05, 0.24906E-08
14.498, -0.69413E-05, 0.25792E-08, 0.17282E-05, 0.23753E-08
14.661, -0.67877E-05, 0.24605E-08, 0.16899E-05, 0.22664E-08
14.824, -0.66392E-05, 0.23484E-08, 0.16529E-05, 0.21637E-08
14.987, -0.64956E-05, 0.22426E-08, 0.16171E-05, 0.20666E-08
