#Energy, xr0, xi0, xrh, xih
9.100, -0.17652E-04, 0.18271E-07, 0.26303E-05, 0.11609E-07
9.220, -0.17195E-04, 0.17295E-07, 0.25618E-05, 0.10974E-07
9.340, -0.16755E-04, 0.16383E-07, 0.24959E-05, 0.10381E-07
9.460, -0.16332E-04, 0.15529E-07, 0.24325E-05, 0.98271E-08
9.580, -0.15925E-04, 0.14730E-07, 0.23715E-05, 0.93088E-08
9.700, -0.15532E-04, 0.13981E-07, 0.23128E-05, 0.88237E-08
9.820, -0.15155E-04, 0.13278E-07, 0.22563E-05, 0.83693E-08
9.940, -0.14783E-04, 0.12619E-07, 0.21974E-05, 0.79432E-08
10.060, -0.14432E-04, 0.11999E-07, 0.21448E-05, 0.75435E-08
10.180, -0.14093E-04, 0.11417E-07, 0.20941E-05, 0.71682E-08
10.300, -0.13766E-04, 0.10869E-07, 0.20452E-05, 0.68156E-08
10.420, -0.13450E-04, 0.10353E-07, 0.19980E-05, 0.64840E-08
10.540, -0.13145E-04, 0.98669E-08, 0.19524E-05, 0.61720E-08
10.660, -0.12850E-04, 0.94088E-08, 0.19083E-05, 0.58782E-08
10.780, -0.12565E-04, 0.89767E-08, 0.18658E-05, 0.56014E-08
10.900, -0.12290E-04, 0.85688E-08, 0.18246E-05, 0.53405E-08
11.020, -0.12023E-04, 0.81835E-08, 0.17848E-05, 0.50943E-08
11.140, -0.11765E-04, 0.78194E-08, 0.17463E-05, 0.48618E-08
11.260, -0.11515E-04, 0.74751E-08, 0.17090E-05, 0.46423E-08
11.380, -0.11273E-04, 0.71493E-08, 0.16730E-05, 0.44348E-08
11.500, -0.11039E-04, 0.68409E-08, 0.16380E-05, 0.42385E-08
11.620, -0.10812E-04, 0.65487E-08, 0.16041E-05, 0.40528E-08
11.740, -0.10592E-04, 0.62718E-08, 0.15713E-05, 0.38770E-08
11.860, -0.10378E-04, 0.60092E-08, 0.15395E-05, 0.37105E-08
11.980, -0.10171E-04, 0.57600E-08, 0.15087E-05, 0.35526E-08
12.100, -0.99699E-05, 0.55235E-08, 0.14787E-05, 0.34029E-08
12.220, -0.97748E-05, 0.52988E-08, 0.14497E-05, 0.32609E-08
12.340, -0.95854E-05, 0.50853E-08, 0.14215E-05, 0.31260E-08
12.460, -0.94014E-05, 0.48824E-08, 0.13941E-05, 0.29980E-08
12.580, -0.92227E-05, 0.46893E-08, 0.13675E-05, 0.28763E-08
12.700, -0.90491E-05, 0.45056E-08, 0.13416E-05, 0.27606E-08
12.820, -0.88781E-05, 0.43307E-08, 0.13152E-05, 0.26521E-08
12.940, -0.87142E-05, 0.41641E-08, 0.12908E-05, 0.25510E-08
13.060, -0.85547E-05, 0.40054E-08, 0.12672E-05, 0.24546E-08
13.180, -0.83996E-05, 0.38540E-08, 0.12442E-05, 0.23627E-08
13.300, -0.82486E-05, 0.37096E-08, 0.12218E-05, 0.22750E-08
13.420, -0.81017E-05, 0.35719E-08, 0.12000E-05, 0.21913E-08
13.540, -0.79587E-05, 0.34404E-08, 0.11788E-05, 0.21113E-08
13.660, -0.78194E-05, 0.33149E-08, 0.11581E-05, 0.20349E-08
13.780, -0.76838E-05, 0.31949E-08, 0.11380E-05, 0.19619E-08
13.900, -0.75516E-05, 0.30803E-08, 0.11184E-05, 0.18922E-08
14.020, -0.74229E-05, 0.29707E-08, 0.10993E-05, 0.18254E-08
14.140, -0.72974E-05, 0.28659E-08, 0.10807E-05, 0.17615E-08
14.260, -0.71750E-05, 0.27656E-08, 0.10626E-05, 0.17004E-08
14.380, -0.70557E-05, 0.26696E-08, 0.10449E-05, 0.16419E-08
14.500, -0.69394E-05, 0.25777E-08, 0.10276E-05, 0.15858E-08
14.620, -0.68259E-05, 0.24897E-08, 0.10108E-05, 0.15321E-08
14.740, -0.67152E-05, 0.24053E-08, 0.99440E-06, 0.14806E-08
14.860, -0.66071E-05, 0.23245E-08, 0.97838E-06, 0.14312E-08
14.980, -0.65016E-05, 0.22470E-08, 0.96275E-06, 0.13839E-08
