#Energy, xr0, xi0, xrh, xih
5.000, -0.58717E-04, 0.32734E-06, 0.18901E-04, 0.31720E-06
5.204, -0.54184E-04, 0.28175E-06, 0.17428E-04, 0.27303E-06
5.408, -0.50156E-04, 0.24392E-06, 0.16122E-04, 0.23637E-06
5.612, -0.46561E-04, 0.21230E-06, 0.14957E-04, 0.20572E-06
5.816, -0.43339E-04, 0.11813E-06, 0.13914E-04, 0.11338E-06
6.020, -0.40432E-04, 0.10239E-06, 0.12968E-04, 0.98065E-07
6.224, -0.37817E-04, 0.89152E-07, 0.12123E-04, 0.85220E-07
6.428, -0.35447E-04, 0.77967E-07, 0.11359E-04, 0.74384E-07
6.632, -0.33293E-04, 0.68465E-07, 0.10664E-04, 0.65194E-07
6.836, -0.31330E-04, 0.60353E-07, 0.10032E-04, 0.57362E-07
7.040, -0.29535E-04, 0.53395E-07, 0.94537E-05, 0.50709E-07
7.244, -0.27884E-04, 0.47401E-07, 0.89173E-05, 0.45042E-07
7.448, -0.26373E-04, 0.42216E-07, 0.84320E-05, 0.40137E-07
7.652, -0.24983E-04, 0.37714E-07, 0.79853E-05, 0.35875E-07
7.856, -0.23699E-04, 0.33790E-07, 0.75732E-05, 0.32157E-07
8.060, -0.22512E-04, 0.30358E-07, 0.71922E-05, 0.28904E-07
8.264, -0.21412E-04, 0.27346E-07, 0.68393E-05, 0.26048E-07
8.468, -0.20391E-04, 0.24695E-07, 0.65118E-05, 0.23532E-07
8.672, -0.19441E-04, 0.22354E-07, 0.62072E-05, 0.21310E-07
8.876, -0.18556E-04, 0.20281E-07, 0.59236E-05, 0.19341E-07
9.080, -0.17730E-04, 0.18440E-07, 0.56589E-05, 0.17592E-07
9.284, -0.16958E-04, 0.16801E-07, 0.54117E-05, 0.16034E-07
9.488, -0.16235E-04, 0.15338E-07, 0.51803E-05, 0.14643E-07
9.692, -0.15558E-04, 0.14029E-07, 0.49634E-05, 0.13397E-07
9.896, -0.14922E-04, 0.12856E-07, 0.47599E-05, 0.12280E-07
10.100, -0.14318E-04, 0.11801E-07, 0.45621E-05, 0.11276E-07
10.304, -0.13755E-04, 0.10851E-07, 0.43821E-05, 0.10371E-07
10.508, -0.13225E-04, 0.99937E-08, 0.42127E-05, 0.95545E-08
10.712, -0.12726E-04, 0.92185E-08, 0.40529E-05, 0.88156E-08
10.916, -0.12254E-04, 0.85161E-08, 0.39020E-05, 0.81460E-08
11.120, -0.11807E-04, 0.78787E-08, 0.37595E-05, 0.75381E-08
11.324, -0.11385E-04, 0.72991E-08, 0.36246E-05, 0.69852E-08
11.528, -0.10985E-04, 0.67713E-08, 0.34969E-05, 0.64816E-08
11.732, -0.10606E-04, 0.62898E-08, 0.33759E-05, 0.60220E-08
11.936, -0.10246E-04, 0.58499E-08, 0.32610E-05, 0.56020E-08
12.140, -0.99042E-05, 0.54473E-08, 0.31519E-05, 0.52176E-08
12.344, -0.95792E-05, 0.50784E-08, 0.30482E-05, 0.48652E-08
12.548, -0.92699E-05, 0.47399E-08, 0.29495E-05, 0.45417E-08
12.752, -0.89753E-05, 0.44288E-08, 0.28556E-05, 0.42444E-08
12.956, -0.86927E-05, 0.41425E-08, 0.27642E-05, 0.39708E-08
13.160, -0.84251E-05, 0.38787E-08, 0.26791E-05, 0.37186E-08
13.364, -0.81698E-05, 0.36354E-08, 0.25978E-05, 0.34859E-08
13.568, -0.79259E-05, 0.34106E-08, 0.25202E-05, 0.32709E-08
13.772, -0.76927E-05, 0.32028E-08, 0.24460E-05, 0.30720E-08
13.976, -0.74697E-05, 0.30103E-08, 0.23750E-05, 0.28879E-08
14.180, -0.72562E-05, 0.28320E-08, 0.23071E-05, 0.27172E-08
14.384, -0.70518E-05, 0.26665E-08, 0.22420E-05, 0.25588E-08
14.588, -0.68559E-05, 0.25128E-08, 0.21797E-05, 0.24117E-08
14.792, -0.66680E-05, 0.23699E-08, 0.21199E-05, 0.22748E-08
14.996, -0.64878E-05, 0.22369E-08, 0.20626E-05, 0.21474E-08
