#Energy, xr0, xi0, xrh, xih
12.000, -0.10137E-04, 0.57197E-08, 0.12136E-05, 0.33922E-08
12.061, -0.10035E-04, 0.55990E-08, 0.12013E-05, 0.33184E-08
12.122, -0.99337E-05, 0.54814E-08, 0.11892E-05, 0.32465E-08
12.183, -0.98343E-05, 0.53669E-08, 0.11772E-05, 0.31765E-08
12.244, -0.97365E-05, 0.52553E-08, 0.11654E-05, 0.31084E-08
12.305, -0.96401E-05, 0.51465E-08, 0.11538E-05, 0.30420E-08
12.366, -0.95451E-05, 0.50405E-08, 0.11424E-05, 0.29774E-08
12.427, -0.94515E-05, 0.49372E-08, 0.11312E-05, 0.29144E-08
12.488, -0.93593E-05, 0.48365E-08, 0.11201E-05, 0.28531E-08
12.549, -0.92684E-05, 0.47383E-08, 0.11092E-05, 0.27933E-08
12.610, -0.91788E-05, 0.46426E-08, 0.10984E-05, 0.27351E-08
12.671, -0.90906E-05, 0.45492E-08, 0.10878E-05, 0.26784E-08
12.732, -0.90036E-05, 0.44581E-08, 0.10773E-05, 0.26231E-08
12.793, -0.89157E-05, 0.43693E-08, 0.10657E-05, 0.25691E-08
12.854, -0.88312E-05, 0.42827E-08, 0.10556E-05, 0.25166E-08
12.915, -0.87480E-05, 0.41982E-08, 0.10457E-05, 0.24653E-08
12.976, -0.86659E-05, 0.41157E-08, 0.10358E-05, 0.24154E-08
13.037, -0.85849E-05, 0.40352E-08, 0.10261E-05, 0.23666E-08
13.098, -0.85051E-05, 0.39566E-08, 0.10166E-05, 0.23191E-08
13.159, -0.84264E-05, 0.38800E-08, 0.10072E-05, 0.22727E-08
13.220, -0.83488E-05, 0.38051E-08, 0.99786E-06, 0.22275E-08
13.281, -0.82723E-05, 0.37321E-08, 0.98870E-06, 0.21833E-08
13.342, -0.81968E-05, 0.36607E-08, 0.97966E-06, 0.21402E-08
13.403, -0.81223E-05, 0.35910E-08, 0.97074E-06, 0.20982E-08
13.464, -0.80488E-05, 0.35230E-08, 0.96195E-06, 0.20572E-08
13.525, -0.79764E-05, 0.34565E-08, 0.95328E-06, 0.20171E-08
13.586, -0.79049E-05, 0.33916E-08, 0.94472E-06, 0.19780E-08
13.647, -0.78343E-05, 0.33282E-08, 0.93628E-06, 0.19398E-08
13.708, -0.77647E-05, 0.32663E-08, 0.92795E-06, 0.19026E-08
13.769, -0.76961E-05, 0.32057E-08, 0.91973E-06, 0.18662E-08
13.830, -0.76283E-05, 0.31466E-08, 0.91161E-06, 0.18306E-08
13.891, -0.75614E-05, 0.30887E-08, 0.90361E-06, 0.17959E-08
13.952, -0.74954E-05, 0.30322E-08, 0.89571E-06, 0.17620E-08
14.013, -0.74303E-05, 0.29770E-08, 0.88792E-06, 0.17288E-08
14.074, -0.73660E-05, 0.29230E-08, 0.88022E-06, 0.16965E-08
14.135, -0.73025E-05, 0.28702E-08, 0.87263E-06, 0.16648E-08
14.196, -0.72399E-05, 0.28186E-08, 0.86513E-06, 0.16339E-08
14.257, -0.71780E-05, 0.27681E-08, 0.85773E-06, 0.16037E-08
14.318, -0.71170E-05, 0.27187E-08, 0.85042E-06, 0.15741E-08
14.379, -0.70567E-05, 0.26704E-08, 0.84321E-06, 0.15453E-08
14.440, -0.69972E-05, 0.26232E-08, 0.83609E-06, 0.15170E-08
14.501, -0.69384E-05, 0.25770E-08, 0.82906E-06, 0.14894E-08
14.562, -0.68804E-05, 0.25318E-08, 0.82211E-06, 0.14625E-08
14.623, -0.68231E-05, 0.24875E-08, 0.81526E-06, 0.14361E-08
14.684, -0.67665E-05, 0.24443E-08, 0.80848E-06, 0.14103E-08
14.745, -0.67106E-05, 0.24019E-08, 0.80180E-06, 0.13850E-08
14.806, -0.66554E-05, 0.23605E-08, 0.79519E-06, 0.13603E-08
14.867, -0.66009E-05, 0.23199E-08, 0.78867E-06, 0.13362E-08
14.928, -0.65470E-05, 0.22802E-08, 0.78223E-06, 0.13126E-08
14.989, -0.64938E-05, 0.22413E-08, 0.77586E-06, 0.12894E-08
