#Energy, xr0, xi0, xrh, xih
7.000, -0.29875E-04, 0.54678E-07, 0.75066E-05, 0.51317E-07
7.081, -0.29193E-04, 0.52118E-07, 0.73341E-05, 0.48869E-07
7.162, -0.28535E-04, 0.49705E-07, 0.71674E-05, 0.46563E-07
7.243, -0.27891E-04, 0.47428E-07, 0.69995E-05, 0.44390E-07
7.324, -0.27276E-04, 0.45279E-07, 0.68441E-05, 0.42340E-07
7.405, -0.26681E-04, 0.43249E-07, 0.66939E-05, 0.40405E-07
7.486, -0.26106E-04, 0.41329E-07, 0.65485E-05, 0.38578E-07
7.567, -0.25548E-04, 0.39514E-07, 0.64078E-05, 0.36851E-07
7.648, -0.25009E-04, 0.37797E-07, 0.62716E-05, 0.35218E-07
7.729, -0.24486E-04, 0.36170E-07, 0.61397E-05, 0.33674E-07
7.810, -0.23980E-04, 0.34629E-07, 0.60119E-05, 0.32212E-07
7.891, -0.23489E-04, 0.33169E-07, 0.58881E-05, 0.30827E-07
7.972, -0.23013E-04, 0.31783E-07, 0.57681E-05, 0.29514E-07
8.053, -0.22551E-04, 0.30469E-07, 0.56517E-05, 0.28270E-07
8.134, -0.22104E-04, 0.29221E-07, 0.55388E-05, 0.27089E-07
8.215, -0.21669E-04, 0.28035E-07, 0.54293E-05, 0.25968E-07
8.296, -0.21247E-04, 0.26908E-07, 0.53230E-05, 0.24904E-07
8.377, -0.20837E-04, 0.25837E-07, 0.52197E-05, 0.23893E-07
8.458, -0.20439E-04, 0.24817E-07, 0.51195E-05, 0.22932E-07
8.539, -0.20053E-04, 0.23847E-07, 0.50221E-05, 0.22018E-07
8.620, -0.19677E-04, 0.22924E-07, 0.49275E-05, 0.21148E-07
8.701, -0.19311E-04, 0.22044E-07, 0.48355E-05, 0.20320E-07
8.782, -0.18956E-04, 0.21205E-07, 0.47461E-05, 0.19532E-07
8.863, -0.18611E-04, 0.20406E-07, 0.46591E-05, 0.18781E-07
8.944, -0.18274E-04, 0.19643E-07, 0.45745E-05, 0.18065E-07
9.025, -0.17947E-04, 0.18915E-07, 0.44922E-05, 0.17382E-07
9.106, -0.17629E-04, 0.18220E-07, 0.44121E-05, 0.16731E-07
9.187, -0.17319E-04, 0.17557E-07, 0.43341E-05, 0.16109E-07
9.268, -0.17017E-04, 0.16923E-07, 0.42582E-05, 0.15516E-07
9.349, -0.16723E-04, 0.16317E-07, 0.41843E-05, 0.14949E-07
9.430, -0.16436E-04, 0.15737E-07, 0.41122E-05, 0.14407E-07
9.511, -0.16157E-04, 0.15183E-07, 0.40420E-05, 0.13889E-07
9.592, -0.15885E-04, 0.14653E-07, 0.39736E-05, 0.13394E-07
9.673, -0.15619E-04, 0.14145E-07, 0.39069E-05, 0.12921E-07
9.754, -0.15361E-04, 0.13659E-07, 0.38419E-05, 0.12468E-07
9.835, -0.15108E-04, 0.13194E-07, 0.37785E-05, 0.12034E-07
9.916, -0.14862E-04, 0.12747E-07, 0.37167E-05, 0.11630E-07
9.997, -0.14615E-04, 0.12320E-07, 0.36499E-05, 0.11243E-07
10.078, -0.14380E-04, 0.11909E-07, 0.35910E-05, 0.10871E-07
10.159, -0.14152E-04, 0.11516E-07, 0.35336E-05, 0.10514E-07
10.240, -0.13928E-04, 0.11139E-07, 0.34775E-05, 0.10172E-07
10.321, -0.13710E-04, 0.10776E-07, 0.34227E-05, 0.98430E-08
10.402, -0.13497E-04, 0.10428E-07, 0.33692E-05, 0.95274E-08
10.483, -0.13289E-04, 0.10094E-07, 0.33170E-05, 0.92241E-08
10.564, -0.13085E-04, 0.97731E-08, 0.32659E-05, 0.89326E-08
10.645, -0.12887E-04, 0.94646E-08, 0.32161E-05, 0.86525E-08
10.726, -0.12692E-04, 0.91680E-08, 0.31674E-05, 0.83831E-08
10.807, -0.12502E-04, 0.88828E-08, 0.31198E-05, 0.81240E-08
10.888, -0.12317E-04, 0.86085E-08, 0.30732E-05, 0.78747E-08
10.969, -0.12135E-04, 0.83446E-08, 0.30277E-05, 0.76347E-08
11.050, -0.11958E-04, 0.80905E-08, 0.29832E-05, 0.74038E-08
11.131, -0.11784E-04, 0.78460E-08, 0.29397E-05, 0.71814E-08
11.212, -0.11614E-04, 0.76105E-08, 0.28971E-05, 0.69672E-08
11.293, -0.11448E-04, 0.73837E-08, 0.28555E-05, 0.67608E-08
11.374, -0.11285E-04, 0.71652E-08, 0.28147E-05, 0.65619E-08
11.455, -0.11126E-04, 0.69546E-08, 0.27748E-05, 0.63702E-08
11.536, -0.10970E-04, 0.67516E-08, 0.27358E-05, 0.61853E-08
11.617, -0.10817E-04, 0.65558E-08, 0.26976E-05, 0.60071E-08
11.698, -0.10668E-04, 0.63670E-08, 0.26602E-05, 0.58351E-08
11.779, -0.10521E-04, 0.61849E-08, 0.26235E-05, 0.56692E-08
11.860, -0.10378E-04, 0.60092E-08, 0.25876E-05, 0.55090E-08
11.941, -0.10238E-04, 0.58396E-08, 0.25525E-05, 0.53545E-08
12.022, -0.10100E-04, 0.56758E-08, 0.25180E-05, 0.52052E-08
12.103, -0.99649E-05, 0.55177E-08, 0.24843E-05, 0.50610E-08
12.184, -0.98327E-05, 0.53650E-08, 0.24512E-05, 0.49217E-08
12.265, -0.97031E-05, 0.52175E-08, 0.24188E-05, 0.47872E-08
12.346, -0.95761E-05, 0.50750E-08, 0.23870E-05, 0.46571E-08
12.427, -0.94515E-05, 0.49372E-08, 0.23558E-05, 0.45314E-08
12.508, -0.93293E-05, 0.48040E-08, 0.23253E-05, 0.44098E-08
12.589, -0.92095E-05, 0.46752E-08, 0.22953E-05, 0.42923E-08
12.670, -0.90920E-05, 0.45507E-08, 0.22660E-05, 0.41786E-08
12.751, -0.89767E-05, 0.44302E-08, 0.22371E-05, 0.40686E-08
12.832, -0.88615E-05, 0.43137E-08, 0.22069E-05, 0.39621E-08
12.913, -0.87507E-05, 0.42009E-08, 0.21792E-05, 0.38590E-08
12.994, -0.86419E-05, 0.40917E-08, 0.21521E-05, 0.37593E-08
13.075, -0.85351E-05, 0.39860E-08, 0.21255E-05, 0.36627E-08
13.156, -0.84303E-05, 0.38837E-08, 0.20994E-05, 0.35692E-08
13.237, -0.83274E-05, 0.37846E-08, 0.20737E-05, 0.34786E-08
13.318, -0.82263E-05, 0.36886E-08, 0.20485E-05, 0.33908E-08
13.399, -0.81271E-05, 0.35956E-08, 0.20238E-05, 0.33057E-08
13.480, -0.80297E-05, 0.35054E-08, 0.19995E-05, 0.32232E-08
13.561, -0.79340E-05, 0.34180E-08, 0.19757E-05, 0.31433E-08
13.642, -0.78401E-05, 0.33334E-08, 0.19522E-05, 0.30658E-08
13.723, -0.77478E-05, 0.32512E-08, 0.19292E-05, 0.29907E-08
13.804, -0.76571E-05, 0.31716E-08, 0.19066E-05, 0.29178E-08
13.885, -0.75680E-05, 0.30944E-08, 0.18844E-05, 0.28471E-08
13.966, -0.74804E-05, 0.30194E-08, 0.18626E-05, 0.27785E-08
14.047, -0.73943E-05, 0.29467E-08, 0.18411E-05, 0.27119E-08
14.128, -0.73098E-05, 0.28762E-08, 0.18200E-05, 0.26473E-08
14.209, -0.72266E-05, 0.28077E-08, 0.17993E-05, 0.25846E-08
14.290, -0.71449E-05, 0.27412E-08, 0.17790E-05, 0.25237E-08
14.371, -0.70646E-05, 0.26767E-08, 0.17589E-05, 0.24646E-08
14.452, -0.69856E-05, 0.26140E-08, 0.17392E-05, 0.24071E-08
14.533, -0.69079E-05, 0.25531E-08, 0.17199E-05, 0.23514E-08
14.614, -0.68315E-05, 0.24940E-08, 0.17008E-05, 0.22972E-08
14.695, -0.67564E-05, 0.24366E-08, 0.16821E-05, 0.22445E-08
14.776, -0.66825E-05, 0.23807E-08, 0.16637E-05, 0.21933E-08
14.857, -0.66098E-05, 0.23265E-08, 0.16456E-05, 0.21436E-08
14.938, -0.65383E-05, 0.22737E-08, 0.16278E-05, 0.20952E-08
15.019, -0.64679E-05, 0.22225E-08, 0.16102E-05, 0.20482E-08
