#Energy, xr0, xi0, xrh, xih
3.100, -0.15374E-03, 0.15697E-05, 0.56549E-04, 0.10959E-05
3.180, -0.14604E-03, 0.14150E-05, 0.53696E-04, 0.98703E-06
3.260, -0.13890E-03, 0.12787E-05, 0.51054E-04, 0.89122E-06
3.340, -0.13228E-03, 0.11583E-05, 0.48603E-04, 0.80663E-06
3.420, -0.12611E-03, 0.10516E-05, 0.46316E-04, 0.73173E-06
3.500, -0.12036E-03, 0.95683E-06, 0.44192E-04, 0.66524E-06
3.580, -0.11500E-03, 0.87237E-06, 0.42211E-04, 0.60604E-06
3.660, -0.11000E-03, 0.10546E-05, 0.40361E-04, 0.73696E-06
3.740, -0.10531E-03, 0.97244E-06, 0.38629E-04, 0.67956E-06
3.820, -0.10091E-03, 0.89824E-06, 0.37007E-04, 0.62771E-06
3.900, -0.96787E-04, 0.83107E-06, 0.35485E-04, 0.58077E-06
3.980, -0.92910E-04, 0.77014E-06, 0.34056E-04, 0.53819E-06
4.060, -0.89262E-04, 0.71476E-06, 0.32711E-04, 0.49949E-06
4.140, -0.85824E-04, 0.66432E-06, 0.31444E-04, 0.46424E-06
4.220, -0.82582E-04, 0.61831E-06, 0.30249E-04, 0.43209E-06
4.300, -0.79519E-04, 0.57627E-06, 0.29122E-04, 0.40271E-06
4.380, -0.76624E-04, 0.53778E-06, 0.28056E-04, 0.37581E-06
4.460, -0.73885E-04, 0.50249E-06, 0.27048E-04, 0.35115E-06
4.540, -0.71290E-04, 0.47008E-06, 0.26093E-04, 0.32850E-06
4.620, -0.68829E-04, 0.44028E-06, 0.25188E-04, 0.30767E-06
4.700, -0.66494E-04, 0.41282E-06, 0.24329E-04, 0.28849E-06
4.780, -0.64275E-04, 0.38750E-06, 0.23514E-04, 0.27080E-06
4.860, -0.62166E-04, 0.36412E-06, 0.22739E-04, 0.25445E-06
4.940, -0.60159E-04, 0.34250E-06, 0.22001E-04, 0.23934E-06
5.020, -0.58248E-04, 0.32247E-06, 0.21299E-04, 0.22535E-06
5.100, -0.56426E-04, 0.30391E-06, 0.20630E-04, 0.21238E-06
5.180, -0.54689E-04, 0.28668E-06, 0.19993E-04, 0.20034E-06
5.260, -0.53031E-04, 0.27067E-06, 0.19384E-04, 0.18915E-06
5.340, -0.51447E-04, 0.25577E-06, 0.18803E-04, 0.17874E-06
5.420, -0.49933E-04, 0.24190E-06, 0.18247E-04, 0.16904E-06
5.500, -0.48485E-04, 0.22897E-06, 0.17716E-04, 0.16001E-06
5.580, -0.47099E-04, 0.21690E-06, 0.17208E-04, 0.15157E-06
5.660, -0.45771E-04, 0.13223E-06, 0.16721E-04, 0.91552E-07
5.740, -0.44499E-04, 0.12476E-06, 0.16254E-04, 0.86387E-07
5.820, -0.43280E-04, 0.11780E-06, 0.15807E-04, 0.81578E-07
5.900, -0.42109E-04, 0.11131E-06, 0.15378E-04, 0.77095E-07
5.980, -0.40977E-04, 0.10526E-06, 0.14961E-04, 0.72912E-07
6.060, -0.39899E-04, 0.99610E-07, 0.14566E-04, 0.69006E-07
6.140, -0.38862E-04, 0.94329E-07, 0.14186E-04, 0.65355E-07
6.220, -0.37865E-04, 0.89391E-07, 0.13821E-04, 0.61940E-07
6.300, -0.36907E-04, 0.84767E-07, 0.13470E-04, 0.58743E-07
6.380, -0.35984E-04, 0.80435E-07, 0.13132E-04, 0.55746E-07
6.460, -0.35095E-04, 0.76374E-07, 0.12807E-04, 0.52937E-07
6.540, -0.34239E-04, 0.72562E-07, 0.12494E-04, 0.50300E-07
6.620, -0.33414E-04, 0.68983E-07, 0.12192E-04, 0.47823E-07
6.700, -0.32619E-04, 0.65619E-07, 0.11901E-04, 0.45496E-07
6.780, -0.31851E-04, 0.62456E-07, 0.11620E-04, 0.43306E-07
6.860, -0.31110E-04, 0.59478E-07, 0.11349E-04, 0.41245E-07
6.940, -0.30395E-04, 0.56674E-07, 0.11087E-04, 0.39304E-07
7.020, -0.29704E-04, 0.54031E-07, 0.10835E-04, 0.37475E-07
