#Energy, xr0, xi0, xrh, xih
10.350, -0.13633E-04, 0.10650E-07, 0.18170E-05, 0.65577E-08
10.445, -0.13386E-04, 0.10249E-07, 0.17838E-05, 0.63040E-08
10.540, -0.13145E-04, 0.98669E-08, 0.17515E-05, 0.60623E-08
10.635, -0.12911E-04, 0.95020E-08, 0.17201E-05, 0.58318E-08
10.730, -0.12683E-04, 0.91537E-08, 0.16896E-05, 0.56120E-08
10.825, -0.12461E-04, 0.88209E-08, 0.16598E-05, 0.54022E-08
10.920, -0.12245E-04, 0.85030E-08, 0.16308E-05, 0.52020E-08
11.015, -0.12034E-04, 0.81991E-08, 0.16026E-05, 0.50108E-08
11.110, -0.11829E-04, 0.79085E-08, 0.15751E-05, 0.48282E-08
11.205, -0.11629E-04, 0.76305E-08, 0.15483E-05, 0.46537E-08
11.300, -0.11434E-04, 0.73645E-08, 0.15222E-05, 0.44868E-08
11.395, -0.11244E-04, 0.71098E-08, 0.14967E-05, 0.43273E-08
11.490, -0.11058E-04, 0.68659E-08, 0.14719E-05, 0.41746E-08
11.585, -0.10877E-04, 0.66323E-08, 0.14477E-05, 0.40285E-08
11.680, -0.10701E-04, 0.64084E-08, 0.14241E-05, 0.38886E-08
11.775, -0.10529E-04, 0.61938E-08, 0.14011E-05, 0.37546E-08
11.870, -0.10361E-04, 0.59879E-08, 0.13786E-05, 0.36263E-08
11.965, -0.10196E-04, 0.57905E-08, 0.13567E-05, 0.35033E-08
12.060, -0.10036E-04, 0.56010E-08, 0.13353E-05, 0.33853E-08
12.155, -0.98797E-05, 0.54191E-08, 0.13144E-05, 0.32722E-08
12.250, -0.97269E-05, 0.52444E-08, 0.12939E-05, 0.31637E-08
12.345, -0.95776E-05, 0.50767E-08, 0.12740E-05, 0.30596E-08
12.440, -0.94317E-05, 0.49155E-08, 0.12545E-05, 0.29597E-08
12.535, -0.92891E-05, 0.47606E-08, 0.12354E-05, 0.28637E-08
12.630, -0.91498E-05, 0.46117E-08, 0.12168E-05, 0.27715E-08
12.725, -0.90135E-05, 0.44685E-08, 0.11986E-05, 0.26829E-08
12.820, -0.88781E-05, 0.43307E-08, 0.11795E-05, 0.25978E-08
12.915, -0.87480E-05, 0.41982E-08, 0.11622E-05, 0.25159E-08
13.010, -0.86206E-05, 0.40706E-08, 0.11453E-05, 0.24372E-08
13.105, -0.84960E-05, 0.39477E-08, 0.11287E-05, 0.23615E-08
13.200, -0.83741E-05, 0.38295E-08, 0.11125E-05, 0.22887E-08
13.295, -0.82548E-05, 0.37155E-08, 0.10966E-05, 0.22186E-08
13.390, -0.81381E-05, 0.36057E-08, 0.10811E-05, 0.21511E-08
13.485, -0.80238E-05, 0.34999E-08, 0.10659E-05, 0.20861E-08
13.580, -0.79119E-05, 0.33979E-08, 0.10510E-05, 0.20235E-08
13.675, -0.78023E-05, 0.32996E-08, 0.10364E-05, 0.19632E-08
13.770, -0.76949E-05, 0.32047E-08, 0.10221E-05, 0.19051E-08
13.865, -0.75898E-05, 0.31132E-08, 0.10081E-05, 0.18490E-08
13.960, -0.74868E-05, 0.30249E-08, 0.99445E-06, 0.17950E-08
14.055, -0.73859E-05, 0.29397E-08, 0.98103E-06, 0.17429E-08
14.150, -0.72870E-05, 0.28574E-08, 0.96788E-06, 0.16926E-08
14.245, -0.71901E-05, 0.27779E-08, 0.95499E-06, 0.16441E-08
14.340, -0.70951E-05, 0.27012E-08, 0.94236E-06, 0.15973E-08
14.435, -0.70020E-05, 0.26270E-08, 0.92997E-06, 0.15522E-08
14.530, -0.69107E-05, 0.25554E-08, 0.91783E-06, 0.15085E-08
14.625, -0.68212E-05, 0.24861E-08, 0.90593E-06, 0.14679E-08
14.720, -0.67334E-05, 0.24192E-08, 0.89425E-06, 0.14288E-08
14.815, -0.66473E-05, 0.23544E-08, 0.88280E-06, 0.13909E-08
14.910, -0.65629E-05, 0.22918E-08, 0.87157E-06, 0.13543E-08
15.005, -0.64800E-05, 0.22312E-08, 0.86055E-06, 0.13189E-08
