#Energy, xr0, xi0, xrh, xih
11.400, -0.11234E-04, 0.70967E-08, 0.13457E-05, 0.42377E-08
11.473, -0.11091E-04, 0.69088E-08, 0.13285E-05, 0.41220E-08
11.546, -0.10951E-04, 0.67270E-08, 0.13116E-05, 0.40102E-08
11.619, -0.10814E-04, 0.65511E-08, 0.12951E-05, 0.39020E-08
11.692, -0.10679E-04, 0.63808E-08, 0.12789E-05, 0.37974E-08
11.765, -0.10547E-04, 0.62159E-08, 0.12629E-05, 0.36962E-08
11.838, -0.10417E-04, 0.60563E-08, 0.12473E-05, 0.35983E-08
11.911, -0.10289E-04, 0.59017E-08, 0.12319E-05, 0.35036E-08
11.984, -0.10164E-04, 0.57519E-08, 0.12169E-05, 0.34119E-08
12.057, -0.10041E-04, 0.56068E-08, 0.12021E-05, 0.33232E-08
12.130, -0.99206E-05, 0.54662E-08, 0.11876E-05, 0.32372E-08
12.203, -0.98021E-05, 0.53300E-08, 0.11733E-05, 0.31540E-08
12.276, -0.96857E-05, 0.51979E-08, 0.11593E-05, 0.30733E-08
12.349, -0.95714E-05, 0.50698E-08, 0.11456E-05, 0.29952E-08
12.422, -0.94591E-05, 0.49456E-08, 0.11321E-05, 0.29195E-08
12.495, -0.93488E-05, 0.48251E-08, 0.11188E-05, 0.28462E-08
12.568, -0.92404E-05, 0.47082E-08, 0.11058E-05, 0.27750E-08
12.641, -0.91338E-05, 0.45948E-08, 0.10930E-05, 0.27061E-08
12.714, -0.90291E-05, 0.44848E-08, 0.10804E-05, 0.26392E-08
12.787, -0.89241E-05, 0.43780E-08, 0.10667E-05, 0.25744E-08
12.860, -0.88230E-05, 0.42743E-08, 0.10546E-05, 0.25115E-08
12.933, -0.87236E-05, 0.41736E-08, 0.10427E-05, 0.24505E-08
13.006, -0.86259E-05, 0.40759E-08, 0.10310E-05, 0.23912E-08
13.079, -0.85299E-05, 0.39809E-08, 0.10195E-05, 0.23338E-08
13.152, -0.84354E-05, 0.38887E-08, 0.10082E-05, 0.22780E-08
13.225, -0.83425E-05, 0.37991E-08, 0.99711E-06, 0.22238E-08
13.298, -0.82511E-05, 0.37120E-08, 0.98617E-06, 0.21712E-08
13.371, -0.81612E-05, 0.36274E-08, 0.97541E-06, 0.21201E-08
13.444, -0.80728E-05, 0.35451E-08, 0.96482E-06, 0.20705E-08
13.517, -0.79858E-05, 0.34652E-08, 0.95441E-06, 0.20223E-08
13.590, -0.79002E-05, 0.33874E-08, 0.94416E-06, 0.19755E-08
13.663, -0.78160E-05, 0.33118E-08, 0.93408E-06, 0.19300E-08
13.736, -0.77331E-05, 0.32383E-08, 0.92416E-06, 0.18858E-08
13.809, -0.76515E-05, 0.31668E-08, 0.91440E-06, 0.18428E-08
13.882, -0.75712E-05, 0.30972E-08, 0.90479E-06, 0.18010E-08
13.955, -0.74922E-05, 0.30295E-08, 0.89533E-06, 0.17603E-08
14.028, -0.74144E-05, 0.29636E-08, 0.88601E-06, 0.17208E-08
14.101, -0.73378E-05, 0.28995E-08, 0.87685E-06, 0.16824E-08
14.174, -0.72624E-05, 0.28370E-08, 0.86782E-06, 0.16450E-08
14.247, -0.71881E-05, 0.27763E-08, 0.85894E-06, 0.16086E-08
14.320, -0.71150E-05, 0.27171E-08, 0.85019E-06, 0.15732E-08
14.393, -0.70430E-05, 0.26595E-08, 0.84157E-06, 0.15387E-08
14.466, -0.69720E-05, 0.26034E-08, 0.83308E-06, 0.15052E-08
14.539, -0.69022E-05, 0.25487E-08, 0.82472E-06, 0.14726E-08
14.612, -0.68334E-05, 0.24954E-08, 0.81649E-06, 0.14408E-08
14.685, -0.67656E-05, 0.24436E-08, 0.80837E-06, 0.14099E-08
14.758, -0.66988E-05, 0.23930E-08, 0.80038E-06, 0.13797E-08
14.831, -0.66330E-05, 0.23437E-08, 0.79251E-06, 0.13504E-08
14.904, -0.65681E-05, 0.22957E-08, 0.78475E-06, 0.13218E-08
14.977, -0.65042E-05, 0.22489E-08, 0.77711E-06, 0.12940E-08
