#Energy, xr0, xi0, xrh, xih
7.650, -0.24996E-04, 0.37755E-07, 0.42038E-05, 0.24755E-07
7.698, -0.24684E-04, 0.36782E-07, 0.41511E-05, 0.24104E-07
7.746, -0.24379E-04, 0.35840E-07, 0.40993E-05, 0.23473E-07
7.794, -0.24079E-04, 0.34927E-07, 0.40485E-05, 0.22863E-07
7.842, -0.23784E-04, 0.34043E-07, 0.39987E-05, 0.22272E-07
7.890, -0.23495E-04, 0.33186E-07, 0.39498E-05, 0.21700E-07
7.938, -0.23211E-04, 0.32356E-07, 0.39017E-05, 0.21145E-07
7.986, -0.22932E-04, 0.31551E-07, 0.38546E-05, 0.20608E-07
8.034, -0.22658E-04, 0.30771E-07, 0.38083E-05, 0.20088E-07
8.082, -0.22390E-04, 0.30014E-07, 0.37628E-05, 0.19584E-07
8.130, -0.22125E-04, 0.29281E-07, 0.37181E-05, 0.19095E-07
8.178, -0.21866E-04, 0.28569E-07, 0.36742E-05, 0.18621E-07
8.226, -0.21611E-04, 0.27879E-07, 0.36311E-05, 0.18161E-07
8.274, -0.21360E-04, 0.27209E-07, 0.35888E-05, 0.17716E-07
8.322, -0.21114E-04, 0.26558E-07, 0.35472E-05, 0.17283E-07
8.370, -0.20872E-04, 0.25927E-07, 0.35063E-05, 0.16864E-07
8.418, -0.20634E-04, 0.25314E-07, 0.34661E-05, 0.16457E-07
8.466, -0.20401E-04, 0.24720E-07, 0.34266E-05, 0.16062E-07
8.514, -0.20171E-04, 0.24142E-07, 0.33877E-05, 0.15679E-07
8.562, -0.19945E-04, 0.23581E-07, 0.33496E-05, 0.15306E-07
8.610, -0.19723E-04, 0.23035E-07, 0.33120E-05, 0.14945E-07
8.658, -0.19504E-04, 0.22506E-07, 0.32751E-05, 0.14594E-07
8.706, -0.19289E-04, 0.21991E-07, 0.32389E-05, 0.14253E-07
8.754, -0.19078E-04, 0.21491E-07, 0.32032E-05, 0.13922E-07
8.802, -0.18870E-04, 0.21004E-07, 0.31681E-05, 0.13600E-07
8.850, -0.18665E-04, 0.20531E-07, 0.31335E-05, 0.13287E-07
8.898, -0.18464E-04, 0.20072E-07, 0.30996E-05, 0.12984E-07
8.946, -0.18266E-04, 0.19625E-07, 0.30662E-05, 0.12688E-07
8.994, -0.18071E-04, 0.19190E-07, 0.30333E-05, 0.12401E-07
9.042, -0.17880E-04, 0.18767E-07, 0.30009E-05, 0.12122E-07
9.090, -0.17691E-04, 0.18355E-07, 0.29691E-05, 0.11850E-07
9.138, -0.17505E-04, 0.17955E-07, 0.29378E-05, 0.11586E-07
9.186, -0.17323E-04, 0.17565E-07, 0.29069E-05, 0.11329E-07
9.234, -0.17143E-04, 0.17185E-07, 0.28766E-05, 0.11079E-07
9.282, -0.16965E-04, 0.16816E-07, 0.28467E-05, 0.10836E-07
9.330, -0.16791E-04, 0.16457E-07, 0.28173E-05, 0.10599E-07
9.378, -0.16619E-04, 0.16106E-07, 0.27883E-05, 0.10369E-07
9.426, -0.16450E-04, 0.15765E-07, 0.27598E-05, 0.10144E-07
9.474, -0.16284E-04, 0.15433E-07, 0.27317E-05, 0.99260E-08
9.522, -0.16120E-04, 0.15110E-07, 0.27041E-05, 0.97134E-08
9.570, -0.15958E-04, 0.14795E-07, 0.26769E-05, 0.95063E-08
9.618, -0.15799E-04, 0.14488E-07, 0.26500E-05, 0.93047E-08
9.666, -0.15642E-04, 0.14188E-07, 0.26236E-05, 0.91082E-08
9.714, -0.15488E-04, 0.13897E-07, 0.25976E-05, 0.89169E-08
9.762, -0.15335E-04, 0.13612E-07, 0.25719E-05, 0.87304E-08
9.810, -0.15185E-04, 0.13335E-07, 0.25467E-05, 0.85488E-08
9.858, -0.15038E-04, 0.13065E-07, 0.25218E-05, 0.83717E-08
9.906, -0.14892E-04, 0.12801E-07, 0.24972E-05, 0.81991E-08
9.954, -0.14742E-04, 0.12544E-07, 0.24686E-05, 0.80309E-08
10.002, -0.14600E-04, 0.12294E-07, 0.24448E-05, 0.78669E-08
